source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID044_LOC_RC010020-5.00x5.00-Z Height_Forward-251001-CRO_3b8a8d51.tiff,particle_count_align_flatten_p95,particle_count,0,23,0,0,0.0,0.0,8.206148553802945e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,9,19
PEGDA01TPO10SiNPSam02_S2_P__GrID045_LOC_RC010021-5.00x5.00-Z Height_Forward-251001-CRO_2814d736.tiff,particle_count_align_flatten_p95,particle_count,0,1,0,0,0.0,0.0,5.91061125042484e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,9,20
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,particle_count_align_flatten_p95,particle_count,1,3,1,1,525.5884382590876,0.0,9.541930177845285e-08,percentile(95.0),0,350.0,550.0,900.0,512,512,10,0
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,particle_count_align_flatten_p95,particle_count,1,6,1,1,419.8927836665718,0.0,1.8902817817120339e-07,percentile(95.0),1,350.0,550.0,900.0,512,512,10,1
PEGDA01TPO10SiNPSam02_S2_P__GrID048_LOC_RC011006-5.00x5.00-Z Height_Forward-251001-CRO_062f052d.tiff,particle_count_align_flatten_p95,particle_count,1,3,1,1,388.49968141444623,0.0,2.552871189437871e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,10,5
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,particle_count_align_flatten_p95,particle_count,0,7,0,0,0.0,0.0,6.035205207419507e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,10,9
PEGDA01TPO10SiNPSam02_S2_P__GrID050_LOC_RC011011-5.00x5.00-Z Height_Forward-251001-CRO_fcf6fe2e.tiff,particle_count_align_flatten_p95,particle_count,2,5,2,2,461.52820542617053,19.929417041349637,3.016254253533348e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,10,10
PEGDA01TPO10SiNPSam02_S2_P__GrID051_LOC_RC011012-5.00x5.00-Z Height_Forward-251001-CRO_5b8ec6e3.tiff,particle_count_align_flatten_p95,particle_count,0,2,0,0,0.0,0.0,5.780679541656524e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,10,11
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,particle_count_align_flatten_p95,particle_count,3,14,3,1,455.80786512725723,37.6164627472984,1.801880762315193e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,10,15
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,particle_count_align_flatten_p95,particle_count,0,17,0,0,0.0,0.0,1.860911476875599e-07,percentile(95.0),0,350.0,550.0,900.0,512,512,10,19
