source_file,mode,metric_type,count_total,count_total_raw,count_total_filtered,count_isolated,mean_diam_nm,std_diam_nm,threshold,threshold_source,edge_excluded_count,diam_min_nm,diam_max_nm,iso_min_dist_nm,nx,ny,row_idx,col_idx
PEGDA01TPO10SiNPSam02_S2_P__GrID051_LOC_RC011012-5.00x5.00-Z Height_Forward-251001-CRO_5b8ec6e3.tiff,particle_count_align_flatten_mean,particle_count,0,7,0,0,0.0,0.0,1.1300000309653575e-07,mean,1,350.0,550.0,900.0,512,512,10,11
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,particle_count_align_flatten_mean,particle_count,0,22,0,0,0.0,0.0,1.1716658493599674e-09,mean,1,350.0,550.0,900.0,512,512,10,15
PEGDA01TPO10SiNPSam02_S2_P__GrID053_LOC_RC011020-5.00x5.00-Z Height_Forward-251001-CRO_3ad6b860.tiff,particle_count_align_flatten_mean,particle_count,0,18,0,0,0.0,0.0,-1.0334031271447506e-09,mean,1,350.0,550.0,900.0,512,512,10,19
PEGDA01TPO10SiNPSam02_S2_P__GrID054_LOC_RC011021-5.00x5.00-Z Height_Forward-251001-CRO_0c8e549d.tiff,particle_count_align_flatten_mean,particle_count,2,24,2,2,421.48005855181816,66.11741468719083,8.260309801379082e-08,mean,1,350.0,550.0,900.0,512,512,10,20
PEGDA01TPO10SiNPSam02_S2_P__GrID055_LOC_RC012001-5.00x5.00-Z Height_Forward-251001-CRO_238e1d55.tiff,particle_count_align_flatten_mean,particle_count,0,24,0,0,0.0,0.0,3.943393584538381e-08,mean,0,350.0,550.0,900.0,512,512,11,0
PEGDA01TPO10SiNPSam02_S2_P__GrID056_LOC_RC012002-5.00x5.00-Z Height_Forward-251001-CRO_3b640111.tiff,particle_count_align_flatten_mean,particle_count,1,28,1,1,458.4623082201259,0.0,1.9439052529600934e-08,mean,1,350.0,550.0,900.0,512,512,11,1
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,particle_count_align_flatten_mean,particle_count,1,45,1,1,388.65592500870343,0.0,2.8790511958526467e-08,mean,1,350.0,550.0,900.0,512,512,11,5
PEGDA01TPO10SiNPSam02_S2_P__GrID058_LOC_RC012010-5.00x5.00-Z Height_Forward-251001-CRO_6957759f.tiff,particle_count_align_flatten_mean,particle_count,0,3,0,0,0.0,0.0,1.311597876634237e-07,mean,0,350.0,550.0,900.0,512,512,11,9
PEGDA01TPO10SiNPSam02_S2_P__GrID059_LOC_RC012011-5.00x5.00-Z Height_Forward-251001-CRO_3c11b964.tiff,particle_count_align_flatten_mean,particle_count,0,7,0,0,0.0,0.0,1.0110142799399189e-07,mean,0,350.0,550.0,900.0,512,512,11,10
PEGDA01TPO10SiNPSam02_S2_P__GrID060_LOC_RC012012-5.00x5.00-Z Height_Forward-251001-CRO_ba40e05b.tiff,particle_count_align_flatten_mean,particle_count,1,16,1,1,507.24827760521583,0.0,4.732848974037864e-08,mean,2,350.0,550.0,900.0,512,512,11,11
