source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID043_LOC_RC010010-5.00x5.00-Modulus_Backward-251030-CRO_7b0f35d6.tiff,Modulus,Backward,43,251030,modulus_raw_three_sigma,modulus,38243411.44121071,11483537.056185814,kPa,256839,9,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID044_LOC_RC010011-5.00x5.00-Modulus_Backward-251030-CRO_47d42e1c.tiff,Modulus,Backward,44,251030,modulus_raw_three_sigma,modulus,120699192.62562415,28690600.127574906,kPa,254467,9,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID045_LOC_RC010012-5.00x5.00-Modulus_Backward-251030-CRO_4f9d30ad.tiff,Modulus,Backward,45,251030,modulus_raw_three_sigma,modulus,nan,nan,kPa,0,9,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID046_LOC_RC010016-5.00x5.00-Modulus_Backward-251030-CRO_de9fea9a.tiff,Modulus,Backward,46,251030,modulus_raw_three_sigma,modulus,51646442.55974566,22617767.56362831,kPa,245352,9,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID047_LOC_RC010020-5.00x5.00-Modulus_Backward-251030-CRO_e815be7f.tiff,Modulus,Backward,47,251030,modulus_raw_three_sigma,modulus,46530192.270650886,15763904.177064238,kPa,253242,9,19
PEGDA01TPO000SiNP_Sam01_S1_P__GrID048_LOC_RC010021-5.00x5.00-Modulus_Backward-251030-CRO_d7300cdb.tiff,Modulus,Backward,48,251030,modulus_raw_three_sigma,modulus,56362164.746117756,16183960.240601066,kPa,252263,9,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID049_LOC_RC011001-5.00x5.00-Modulus_Backward-251030-CRO_d87f86f9.tiff,Modulus,Backward,49,251030,modulus_raw_three_sigma,modulus,532387621.7580206,71454291.91110222,kPa,257268,10,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID050_LOC_RC011002-5.00x5.00-Modulus_Backward-251031-CRO_dc9866b7.tiff,Modulus,Backward,50,251031,modulus_raw_three_sigma,modulus,527835598.62036383,74830662.04283535,kPa,256840,10,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID051_LOC_RC011006-5.00x5.00-Modulus_Backward-251031-CRO_49ccf70c.tiff,Modulus,Backward,51,251031,modulus_raw_three_sigma,modulus,33310261.022534877,5879233.019627003,kPa,256959,10,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID052_LOC_RC011010-5.00x5.00-Modulus_Backward-251031-CRO_685b799b.tiff,Modulus,Backward,52,251031,modulus_raw_three_sigma,modulus,209945123.54650772,50235262.07360867,kPa,244387,10,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID053_LOC_RC011011-5.00x5.00-Modulus_Backward-251031-CRO_455aa989.tiff,Modulus,Backward,53,251031,modulus_raw_three_sigma,modulus,143140396.9667018,45429885.23759165,kPa,243956,10,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID054_LOC_RC011012-5.00x5.00-Modulus_Backward-251031-CRO_dcea5ca1.tiff,Modulus,Backward,54,251031,modulus_raw_three_sigma,modulus,113130464.31465532,48631783.9466956,kPa,246170,10,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID055_LOC_RC011016-5.00x5.00-Modulus_Backward-251031-CRO_7b1d54b1.tiff,Modulus,Backward,55,251031,modulus_raw_three_sigma,modulus,32664869.32457887,4745672.5102193635,kPa,257900,10,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID056_LOC_RC011020-5.00x5.00-Modulus_Backward-251031-CRO_94169c24.tiff,Modulus,Backward,56,251031,modulus_raw_three_sigma,modulus,45598391.70616827,15442167.649690617,kPa,249292,10,19
PEGDA01TPO000SiNP_Sam01_S1_P__GrID057_LOC_RC011021-5.00x5.00-Modulus_Backward-251031-CRO_75498239.tiff,Modulus,Backward,57,251031,modulus_raw_three_sigma,modulus,46051576.72105933,11002304.574816868,kPa,257578,10,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID058_LOC_RC012001-5.00x5.00-Modulus_Backward-251031-CRO_ce88c88f.tiff,Modulus,Backward,58,251031,modulus_raw_three_sigma,modulus,289715884.51894635,43982328.73079575,kPa,255923,11,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID059_LOC_RC012002-5.00x5.00-Modulus_Backward-251031-CRO_2e458130.tiff,Modulus,Backward,59,251031,modulus_raw_three_sigma,modulus,36378036.04410803,6756261.644647407,kPa,258017,11,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID060_LOC_RC012006-5.00x5.00-Modulus_Backward-251031-CRO_10276a16.tiff,Modulus,Backward,60,251031,modulus_raw_three_sigma,modulus,290811106.8938819,88718064.27762432,kPa,247805,11,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID061_LOC_RC012010-5.00x5.00-Modulus_Backward-251031-CRO_300a166c.tiff,Modulus,Backward,61,251031,modulus_raw_three_sigma,modulus,844696582.314022,83535622.30153558,kPa,249473,11,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID062_LOC_RC012011-5.00x5.00-Modulus_Backward-251031-CRO_70589138.tiff,Modulus,Backward,62,251031,modulus_raw_three_sigma,modulus,143208769.97496876,46377726.19158133,kPa,253692,11,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID063_LOC_RC012012-5.00x5.00-Modulus_Backward-251101-CRO_3ea84ce5.tiff,Modulus,Backward,63,251101,modulus_raw_three_sigma,modulus,52524717.834247746,22028618.089795765,kPa,245043,11,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID064_LOC_RC012016-5.00x5.00-Modulus_Backward-251101-CRO_f392dff8.tiff,Modulus,Backward,64,251101,modulus_raw_three_sigma,modulus,267486342.37241703,84874173.54470636,kPa,242673,11,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID065_LOC_RC012020-5.00x5.00-Modulus_Backward-251101-CRO_0a7fad5a.tiff,Modulus,Backward,65,251101,modulus_raw_three_sigma,modulus,192230822.09766412,50942205.46965873,kPa,245673,11,19
PEGDA01TPO000SiNP_Sam01_S1_P__GrID066_LOC_RC012021-5.00x5.00-Modulus_Backward-251101-CRO_db24f799.tiff,Modulus,Backward,66,251101,modulus_raw_three_sigma,modulus,nan,nan,kPa,0,11,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID067_LOC_RC014003-5.00x5.00-Modulus_Backward-251101-CRO_7075b21b.tiff,Modulus,Backward,67,251101,modulus_raw_three_sigma,modulus,723495051.0309051,105368808.31870915,kPa,252218,13,2
