source_file,channel,direction,grid_id,date_code,mode,metric_type,avg_value,std_value,units,n_valid,nx,ny,row_idx,col_idx
PEGDA01TPO000SiNP_Sam01_S1_P__GrID073_LOC_RC016006-5.00x5.00-Modulus_Forward-251101-CRO_2e822071.tiff,Modulus,Forward,73,251101,modulus_gwy_ops_py_stats,modulus,68496485.78336567,41902469.117310055,kPa,250540,512,512,15,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID074_LOC_RC016010-5.00x5.00-Modulus_Forward-251101-CRO_c2c6e67e.tiff,Modulus,Forward,74,251101,modulus_gwy_ops_py_stats,modulus,709696455.535179,121064993.74326937,kPa,244916,512,512,15,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID075_LOC_RC016011-5.00x5.00-Modulus_Forward-251101-CRO_766314dc.tiff,Modulus,Forward,75,251101,modulus_gwy_ops_py_stats,modulus,38071476.48983279,11909545.536802182,kPa,262144,512,512,15,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID076_LOC_RC016012-5.00x5.00-Modulus_Forward-251102-CRO_ad3e4c81.tiff,Modulus,Forward,76,251102,modulus_gwy_ops_py_stats,modulus,46526083.06178522,18961688.55062148,kPa,260237,512,512,15,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID077_LOC_RC016016-5.00x5.00-Modulus_Forward-251102-CRO_c335f704.tiff,Modulus,Forward,77,251102,modulus_gwy_ops_py_stats,modulus,41052208.39082568,10569659.071490703,kPa,262144,512,512,15,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID078_LOC_RC016017-5.00x5.00-Modulus_Forward-251102-CRO_d35e3737.tiff,Modulus,Forward,78,251102,modulus_gwy_ops_py_stats,modulus,69864986.31649908,27650246.841163423,kPa,252145,512,512,15,16
PEGDA01TPO000SiNP_Sam01_S1_P__GrID079_LOC_RC016021-5.00x5.00-Modulus_Forward-251102-CRO_1cb4b17c.tiff,Modulus,Forward,79,251102,modulus_gwy_ops_py_stats,modulus,36886971.96710351,17142206.419955194,kPa,257486,512,512,15,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID080_LOC_RC017001-5.00x5.00-Modulus_Forward-251102-CRO_cc40f1d0.tiff,Modulus,Forward,80,251102,modulus_gwy_ops_py_stats,modulus,228759983.12411934,68416509.46063584,kPa,252798,512,512,16,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID081_LOC_RC017005-5.00x5.00-Modulus_Forward-251102-CRO_0868197d.tiff,Modulus,Forward,81,251102,modulus_gwy_ops_py_stats,modulus,244698351.41231966,78594608.42376088,kPa,244584,512,512,16,4
PEGDA01TPO000SiNP_Sam01_S1_P__GrID082_LOC_RC017006-5.00x5.00-Modulus_Forward-251102-CRO_fe8a749d.tiff,Modulus,Forward,82,251102,modulus_gwy_ops_py_stats,modulus,102535065.99477579,34947218.803158015,kPa,253786,512,512,16,5
PEGDA01TPO000SiNP_Sam01_S1_P__GrID083_LOC_RC017016-5.00x5.00-Modulus_Forward-251102-CRO_435ce319.tiff,Modulus,Forward,83,251102,modulus_gwy_ops_py_stats,modulus,507878968.7227424,263526905.6633436,kPa,835,512,512,16,15
PEGDA01TPO000SiNP_Sam01_S1_P__GrID084_LOC_RC017017-5.00x5.00-Modulus_Forward-251102-CRO_70d3d6ca.tiff,Modulus,Forward,84,251102,modulus_gwy_ops_py_stats,modulus,29532905.333806302,15634714.351946801,kPa,260595,512,512,16,16
PEGDA01TPO000SiNP_Sam01_S1_P__GrID085_LOC_RC017021-5.00x5.00-Modulus_Forward-251102-CRO_7299d06d.tiff,Modulus,Forward,85,251102,modulus_gwy_ops_py_stats,modulus,nan,nan,kPa,0,512,512,16,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID086_LOC_RC019008-5.00x5.00-Modulus_Forward-251102-CRO_296275b3.tiff,Modulus,Forward,86,251102,modulus_gwy_ops_py_stats,modulus,55096107.99932763,36222000.36416773,kPa,250323,512,512,18,7
PEGDA01TPO000SiNP_Sam01_S1_P__GrID087_LOC_RC019014-5.00x5.00-Modulus_Forward-251102-CRO_ce620c64.tiff,Modulus,Forward,87,251102,modulus_gwy_ops_py_stats,modulus,36471211.94076191,20375194.353073284,kPa,253507,512,512,18,13
PEGDA01TPO000SiNP_Sam01_S1_P__GrID088_LOC_RC020001-5.00x5.00-Modulus_Forward-251102-CRO_44d99d50.tiff,Modulus,Forward,88,251102,modulus_gwy_ops_py_stats,modulus,563198950.722483,277535330.9334012,kPa,80,512,512,19,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID089_LOC_RC020002-5.00x5.00-Modulus_Forward-251102-CRO_9b941964.tiff,Modulus,Forward,89,251102,modulus_gwy_ops_py_stats,modulus,937468343.9639053,37515568.30021376,kPa,381,512,512,19,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID090_LOC_RC020010-5.00x5.00-Modulus_Forward-251103-CRO_c9aeafeb.tiff,Modulus,Forward,90,251103,modulus_gwy_ops_py_stats,modulus,502144506.1464501,287527678.4357814,kPa,1499,512,512,19,9
PEGDA01TPO000SiNP_Sam01_S1_P__GrID091_LOC_RC020011-5.00x5.00-Modulus_Forward-251103-CRO_4b1e79bf.tiff,Modulus,Forward,91,251103,modulus_gwy_ops_py_stats,modulus,421187721.4926952,97796059.45396887,kPa,250296,512,512,19,10
PEGDA01TPO000SiNP_Sam01_S1_P__GrID092_LOC_RC020012-5.00x5.00-Modulus_Forward-251103-CRO_1ded314f.tiff,Modulus,Forward,92,251103,modulus_gwy_ops_py_stats,modulus,256447359.72729406,55063282.47621009,kPa,256557,512,512,19,11
PEGDA01TPO000SiNP_Sam01_S1_P__GrID093_LOC_RC020020-5.00x5.00-Modulus_Forward-251103-CRO_c273767c.tiff,Modulus,Forward,93,251103,modulus_gwy_ops_py_stats,modulus,83529139.61334072,35081166.11277559,kPa,247740,512,512,19,19
PEGDA01TPO000SiNP_Sam01_S1_P__GrID094_LOC_RC020021-5.00x5.00-Modulus_Forward-251103-CRO_91bf79e4.tiff,Modulus,Forward,94,251103,modulus_gwy_ops_py_stats,modulus,285955548.0454666,66653251.634907916,kPa,251956,512,512,19,20
PEGDA01TPO000SiNP_Sam01_S1_P__GrID095_LOC_RC021001-5.00x5.00-Modulus_Forward-251103-CRO_210e8324.tiff,Modulus,Forward,95,251103,modulus_gwy_ops_py_stats,modulus,753649979.0226792,104879486.16375344,kPa,254857,512,512,20,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID096_LOC_RC021002-5.00x5.00-Modulus_Forward-251103-CRO_0e1929e4.tiff,Modulus,Forward,96,251103,modulus_gwy_ops_py_stats,modulus,743134357.7760856,227069720.33651343,kPa,72608,512,512,20,1
PEGDA01TPO000SiNP_Sam01_S1_P__GrID097_LOC_RC021005-5.00x5.00-Modulus_Forward-251103-CRO_a63a135e.tiff,Modulus,Forward,97,251103,modulus_gwy_ops_py_stats,modulus,184029140.6074481,68111696.2158072,kPa,244406,512,512,20,4
