source_file,method,avg_value,std_value,n_valid,units,avg_baseline,std_baseline,n_valid_baseline,delta_avg,delta_std,delta_n_valid
PEGDA01TPO000SiNP_Sam01_S1_P__GrID017_LOC_RC002020-5.00x5.00-Modulus_Forward-251028-CRO_7d77b12c.tiff,raw_minmax,40506410.97145682,18007010.603758752,259699,kPa,40515136.33464782,18279377.20674194,259699,-8725.363191001117,-272366.6029831879,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID017_LOC_RC002020-5.00x5.00-Modulus_Forward-251028-CRO_7d77b12c.tiff,raw_three_sigma,38960526.045917146,10843438.691617655,255743,kPa,40515136.33464782,18279377.20674194,259699,-1554610.2887306735,-7435938.515124286,-3956
PEGDA01TPO000SiNP_Sam01_S1_P__GrID018_LOC_RC002021-5.00x5.00-Modulus_Forward-251028-CRO_aeb69ee3.tiff,gwy_ops_py_stats,33311794.495459113,7613344.8346443465,262144,kPa,33311794.4954594,7613344.834644517,262144,-2.868473529815674e-07,-1.7043203115463257e-07,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID018_LOC_RC002021-5.00x5.00-Modulus_Forward-251028-CRO_aeb69ee3.tiff,raw_chauvenet,33015354.946977034,6232287.03540085,260750,kPa,33311794.4954594,7613344.834644517,262144,-296439.5484823659,-1381057.7992436672,-1394
PEGDA01TPO000SiNP_Sam01_S1_P__GrID018_LOC_RC002021-5.00x5.00-Modulus_Forward-251028-CRO_aeb69ee3.tiff,raw_minmax,33311794.495459113,7613344.8346443465,262144,kPa,33311794.4954594,7613344.834644517,262144,-2.868473529815674e-07,-1.7043203115463257e-07,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID018_LOC_RC002021-5.00x5.00-Modulus_Forward-251028-CRO_aeb69ee3.tiff,raw_three_sigma,32738357.305887967,5576872.546773189,258242,kPa,33311794.4954594,7613344.834644517,262144,-573437.1895714328,-2036472.2878713282,-3902
PEGDA01TPO000SiNP_Sam01_S1_P__GrID019_LOC_RC003008-5.00x5.00-Modulus_Forward-251028-CRO_e0c45a99.tiff,gwy_ops_py_stats,285322467.7763096,51528606.92006248,253623,kPa,285740214.7783635,56999001.77581543,253623,-417747.00205391645,-5470394.855752945,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID019_LOC_RC003008-5.00x5.00-Modulus_Forward-251028-CRO_e0c45a99.tiff,raw_chauvenet,285054249.4333786,49981164.456570216,253507,kPa,285740214.7783635,56999001.77581543,253623,-685965.3449849486,-7017837.319245212,-116
PEGDA01TPO000SiNP_Sam01_S1_P__GrID019_LOC_RC003008-5.00x5.00-Modulus_Forward-251028-CRO_e0c45a99.tiff,raw_minmax,285322467.7763096,51528606.92006248,253623,kPa,285740214.7783635,56999001.77581543,253623,-417747.00205391645,-5470394.855752945,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID019_LOC_RC003008-5.00x5.00-Modulus_Forward-251028-CRO_e0c45a99.tiff,raw_three_sigma,283962543.63942504,45479938.41316122,252803,kPa,285740214.7783635,56999001.77581543,253623,-1777671.1389384866,-11519063.36265421,-820
PEGDA01TPO000SiNP_Sam01_S1_P__GrID020_LOC_RC003014-5.00x5.00-Modulus_Forward-251028-CRO_40ff7ba4.tiff,gwy_ops_py_stats,127576950.24753614,57663379.38607061,246033,kPa,128780334.7976673,76073969.52399455,246033,-1203384.550131157,-18410590.13792394,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID020_LOC_RC003014-5.00x5.00-Modulus_Forward-251028-CRO_40ff7ba4.tiff,raw_chauvenet,127576950.24753614,57663379.38607061,246033,kPa,128780334.7976673,76073969.52399455,246033,-1203384.550131157,-18410590.13792394,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID020_LOC_RC003014-5.00x5.00-Modulus_Forward-251028-CRO_40ff7ba4.tiff,raw_minmax,127576950.24753614,57663379.38607061,246033,kPa,128780334.7976673,76073969.52399455,246033,-1203384.550131157,-18410590.13792394,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID020_LOC_RC003014-5.00x5.00-Modulus_Forward-251028-CRO_40ff7ba4.tiff,raw_three_sigma,126327691.34157813,49866835.32697926,245571,kPa,128780334.7976673,76073969.52399455,246033,-2452643.456089169,-26207134.197015293,-462
PEGDA01TPO000SiNP_Sam01_S1_P__GrID021_LOC_RC005001-5.00x5.00-Modulus_Forward-251028-CRO_b8eb5047.tiff,gwy_ops_py_stats,474459606.11869806,56771064.35343017,257769,kPa,476043722.9554889,72408182.88727114,257769,-1584116.8367908597,-15637118.53384097,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID021_LOC_RC005001-5.00x5.00-Modulus_Forward-251028-CRO_b8eb5047.tiff,raw_chauvenet,474459606.11869806,56771064.35343017,257769,kPa,476043722.9554889,72408182.88727114,257769,-1584116.8367908597,-15637118.53384097,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID021_LOC_RC005001-5.00x5.00-Modulus_Forward-251028-CRO_b8eb5047.tiff,raw_minmax,474459606.11869806,56771064.35343017,257769,kPa,476043722.9554889,72408182.88727114,257769,-1584116.8367908597,-15637118.53384097,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID021_LOC_RC005001-5.00x5.00-Modulus_Forward-251028-CRO_b8eb5047.tiff,raw_three_sigma,474459606.11869806,56771064.35343017,257769,kPa,476043722.9554889,72408182.88727114,257769,-1584116.8367908597,-15637118.53384097,0
PEGDA01TPO000SiNP_Sam01_S1_P__GrID022_LOC_RC005005-5.00x5.00-Modulus_Forward-251028-CRO_f85418cc.tiff,gwy_ops_py_stats,579561317.4191424,86839633.46281262,258496,kPa,588651934.0700958,256949964.67746982,258496,-9090616.650953412,-170110331.2146572,0
